Indicador;Data;Media;Mediana;DesvioPadrao;Minimo;Maximo
IGP-M;2021-06-01;5,8381;5,2735;2,0564;1,2295;11,7341
IGP-M;2021-06-02;6,4774;5,4955;2,485;3,0582;11,9323
IGP-M;2021-06-02;6,2786;5,3347;2,3938;2,9794;11,6945
IGP-M;2021-06-02;5,9962;5,4661;2,1604;1,1759;11,9323
IGP-M;2021-06-02;5,8188;5,2667;2,0788;1,2402;11,6945
IGP-M;2021-06-04;6,2225;5,4306;2,2604;2,9532;11,6153
IGP-M;2021-06-04;6,4842;5,5733;2,3708;3,0582;11,9323
IGP-M;2021-06-04;5,7802;5,2548;2,0067;1,2617;11,6153
IGP-M;2021-06-04;6,0159;5,5288;2,1089;1,1759;11,9323
IGP-M;2021-06-07;6,0252;5,4388;2,1135;3,0582;11,6566
IGP-M;2021-06-07;5,7009;5,153;1,9679;2,9139;10,9401
IGP-M;2021-06-07;6,0231;5,4975;2,1244;1,1759;11,9323
IGP-M;2021-06-07;5,7035;5,1628;1,9841;1,2938;11,4967
IGP-M;2021-06-08;5,8811;5,4479;1,8968;3,0684;10,9759
IGP-M;2021-06-08;5,5832;5,141;1,8;2,9071;10,3568
IGP-M;2021-06-08;6,0294;5,4975;2,1307;1,1759;11,9323
IGP-M;2021-06-08;5,6793;5,1392;1,9781;1,3046;11,4572
IGP-M;2021-06-09;6,3988;5,3182;3,4227;2,8937;20,9821
IGP-M;2021-06-09;6,7826;5,5733;3,6321;3,0684;22,1476
IGP-M;2021-06-09;5,8255;5,1041;2,7001;1,3153;20,9821
IGP-M;2021-06-09;6,2144;5,4661;2,8924;1,1759;22,1476
IGP-M;2021-06-10;6,9924;5,5733;3,7817;3,0684;22,1476
IGP-M;2021-06-10;6,5733;5,2914;3,52;2,8803;20,8929
IGP-M;2021-06-10;6,2542;5,4479;2,998;1,1759;22,1476
IGP-M;2021-06-10;5,8428;5,0498;2,7754;1,326;20,8929
IGP-M;2021-06-11;6,6417;5,7436;3,0634;3,02;22,1476
IGP-M;2021-06-11;6,1714;5,4028;2,879;2,0681;20,8038
IGP-M;2021-06-11;6,3417;5,6953;2,8709;1,1759;22,1476
IGP-M;2021-06-11;5,8749;5,1968;2,6629;1,3367;20,8038
IGP-M;2021-06-14;6,5707;5,7445;2,9909;3,02;22,1476
IGP-M;2021-06-14;6,0209;5,3836;2,7741;1,8788;20,5368
IGP-M;2021-06-14;6,3743;5,7436;2,9132;1,1759;22,1476
IGP-M;2021-06-14;5,8214;5,2981;2,6606;1,3689;20,5368
IGP-M;2021-06-15;6,5315;5,7436;3,0094;3,02;22,1476
IGP-M;2021-06-15;5,9449;5,2632;2,7737;1,8158;20,4479
IGP-M;2021-06-15;6,3743;5,7436;2,9132;1,1759;22,1476
IGP-M;2021-06-15;5,7908;5,2632;2,648;1,3797;20,4479
IGP-M;2021-06-16;6,2318;5,7436;1,9844;3,02;14,369
IGP-M;2021-06-16;5,6211;5,2283;1,8038;1,7528;12,6945
IGP-M;2021-06-16;6,3772;5,7436;2,9099;1,1759;22,1476
IGP-M;2021-06-16;5,7609;5,2283;2,635;1,3904;20,3591
IGP-M;2021-06-17;6,3901;5,7436;2,7745;3,02;22,1476
IGP-M;2021-06-17;5,7224;5,1934;2,5873;1,6899;20,2704
IGP-M;2021-06-17;6,4498;5,7445;2,8183;3,02;22,1476
IGP-M;2021-06-17;5,7852;5,2623;2,5589;1,6899;20,2704
IGP-M;2021-06-18;5,8154;4,899;3,2003;1,627;20,1817
IGP-M;2021-06-18;6,5079;5,438;3,4489;3,02;22,1476
IGP-M;2021-06-18;5,8139;5,3319;2,5784;1,627;20,1817
IGP-M;2021-06-18;6,5066;5,7445;2,8427;3,02;22,1476
IGP-M;2021-06-21;6,588;5,5959;3,4688;3,02;22,1476
IGP-M;2021-06-21;5,7864;4,9095;3,1843;1,4385;19,9161
IGP-M;2021-06-21;6,5145;5,7445;2,8449;3,02;22,1476
IGP-M;2021-06-21;5,734;5,201;2,5576;1,4385;19,9161
IGP-M;2021-06-22;6,6307;5,6381;3,4293;3,02;22,1476
IGP-M;2021-06-22;5,809;4,9584;3,1403;1,3757;19,8277
IGP-M;2021-06-22;6,537;5,792;2,8327;3,02;22,1476
IGP-M;2021-06-22;5,731;5,2952;2,539;1,3757;19,8277
IGP-M;2021-06-23;6,6186;5,5959;3,4119;3,02;22,1476
IGP-M;2021-06-23;5,7557;4,86;3,1129;1,313;19,7394
IGP-M;2021-06-23;6,5381;5,792;2,8324;3,02;22,1476
IGP-M;2021-06-23;5,7076;5,2487;2,5231;1,313;19,7394
IGP-M;2021-06-24;5,4163;4,9108;1,8501;1,2503;10,2702
IGP-M;2021-06-24;6,2521;5,643;2,0131;3,02;11,105
IGP-M;2021-06-24;5,6771;5,2021;2,5136;1,2503;19,6511
IGP-M;2021-06-24;6,5381;5,792;2,8324;3,02;22,1476
IGP-M;2021-06-25;5,6432;5,3352;1,6744;2,6491;10,3183
IGP-M;2021-06-25;6,4668;5,8615;1,8075;3,2514;10,8752
IGP-M;2021-06-25;5,6623;5,1884;2,4969;1,1877;19,5629
IGP-M;2021-06-25;6,5521;5,8167;2,8096;3,02;22,1476
IGP-M;2021-06-28;5,5956;5,2779;1,7082;2,587;10,2609
IGP-M;2021-06-28;6,541;5,8615;1,786;3,2514;10,8752
IGP-M;2021-06-28;5,5665;5,078;2,4714;1;19,2987
IGP-M;2021-06-28;6,546;5,8167;2,8097;3,02;22,1476
IGP-M;2021-06-29;5,5267;5,1409;1,7838;1,9263;10,2517
IGP-M;2021-06-29;5,5362;5,1503;1,7868;1,8877;10,2609
IGP-M;2021-06-29;5,5615;5,1393;2,4757;0,9665;19,2361
IGP-M;2021-06-29;5,5741;5,158;2,4835;1;19,2987
IGP-M;2021-06-30;5,3708;4,9157;1,9094;1,8877;10,2609
IGP-M;2021-06-30;5,3577;4,899;1,9015;1,9648;10,2426
IGP-M;2021-06-30;5,5122;5,078;2,5107;1;19,2987
IGP-M;2021-06-30;5,4882;5,0626;2,494;0,933;19,1736
IGP-M;2021-07-01;5,2908;4,8857;1,9338;2,0034;10,2335
IGP-M;2021-07-01;5,3086;4,9113;1,9465;1,8877;10,2609
IGP-M;2021-07-01;5,4762;5,0471;2,4857;0,8996;19,1111
IGP-M;2021-07-01;5,5122;5,078;2,5107;1;19,2987
IGP-M;2021-07-02;5,1766;4,5548;1,8468;2,042;9,4188
IGP-M;2021-07-02;5,1513;4,5409;1,8676;1,8877;9,3869
IGP-M;2021-07-02;5,3835;4,9937;2,3979;0,8661;19,0487
IGP-M;2021-07-02;5,4233;5,0203;2,4302;1;19,2987
IGP-M;2021-07-05;5,6659;4,4875;3,1323;1,8877;15,5483
IGP-M;2021-07-05;5,6803;4,445;3,0611;2,1578;15,2563
IGP-M;2021-07-05;5,3503;4,9942;2,1113;1;15,5483
IGP-M;2021-07-05;5,2834;4,9046;2,0733;0,7658;15,2563
IGP-M;2021-07-06;5,6498;5,4172;2,7816;1,8877;15,5483
IGP-M;2021-07-06;5,6423;5,3291;2,7141;2,1964;15,2147
IGP-M;2021-07-06;5,2575;4,9942;1,9553;1;15,5483
IGP-M;2021-07-06;5,1904;4,8882;1,9326;0,7324;15,2147
IGP-M;2021-07-07;5,7135;5,6869;2,6941;2,3906;15,5483
IGP-M;2021-07-07;5,698;5,6215;2,6263;2,6496;15,1731
IGP-M;2021-07-07;5,2828;4,9942;1,9489;1;15,5483
IGP-M;2021-07-07;5,2079;4,8694;1,9274;0,699;15,1731
IGP-M;2021-07-08;5,6066;4,9687;2,4814;2,3906;15,5483
IGP-M;2021-07-08;5,5531;4,8701;2,4344;2,6784;15,1314
IGP-M;2021-07-08;5,3103;5,0203;1,9634;1;15,5483
IGP-M;2021-07-08;5,2273;4,8921;1,9426;0,6656;15,1314
IGP-M;2021-07-09;5,6782;5,094;2,6237;2,3906;15,5483
IGP-M;2021-07-09;5,5784;5,0479;2,5748;2,7072;15,0898
IGP-M;2021-07-09;5,3173;5,0412;1,9572;1;15,5483
IGP-M;2021-07-09;5,2187;4,8633;1,9405;0,6322;15,0898
IGP-M;2021-07-12;5,2432;4,9393;1,5343;2,7937;10,7109
IGP-M;2021-07-12;5,333;5,0412;1,5147;2,3906;10,6647
IGP-M;2021-07-12;5,1967;4,6699;2,0465;0,5321;14,9651
IGP-M;2021-07-12;5,2992;4,8111;2,071;1;15,5483
IGP-M;2021-07-13;5,0988;4,8237;1,534;2,8226;10,7142
IGP-M;2021-07-13;5,189;4,9416;1,5051;2,3906;10,6647
IGP-M;2021-07-13;5,1826;4,7412;2,027;0,4988;14,9236
IGP-M;2021-07-13;5,2947;4,868;2,052;1;15,5483
IGP-M;2021-07-14;5,1369;4,9248;1,4618;2,3906;10,6647
IGP-M;2021-07-14;5,0479;4,8073;1,4946;2,8515;10,7175
IGP-M;2021-07-14;5,2952;4,868;2,0512;1;15,5483
IGP-M;2021-07-14;5,1771;4,7285;2,025;0,4654;14,882
IGP-M;2021-07-15;4,9676;4,9248;1,109;2,3906;6,6746
IGP-M;2021-07-15;4,941;4,8113;1,0945;2,8803;6,7566
IGP-M;2021-07-15;5,2629;4,8067;2,0682;1;15,5483
IGP-M;2021-07-15;5,1448;4,6324;2,0376;0,4321;14,8405
IGP-M;2021-07-16;5,6002;4,9259;2,1299;2,9763;13,7358
IGP-M;2021-07-16;5,5359;4,8693;2,2221;2,62;14,0753
IGP-M;2021-07-16;5,3093;4,8067;1,8387;1;13,7358
IGP-M;2021-07-16;5,1692;4,6221;1,922;0,3988;14,0753
IGP-M;2021-07-19;5,7166;4,9583;2,191;2,9763;13,7358
IGP-M;2021-07-19;5,6115;4,8425;2,3015;2,5607;14,132
IGP-M;2021-07-19;5,3993;4,8646;1,7958;2,9763;13,7358
IGP-M;2021-07-19;5,2474;4,6956;1,8808;2,5607;14,132
IGP-M;2021-07-20;5,7957;5,0055;2,1333;2,9763;13,7358
IGP-M;2021-07-20;5,6596;5,0083;2,2514;2,541;14,1509
IGP-M;2021-07-20;5,4387;4,8646;1,7892;2,9763;13,7358
IGP-M;2021-07-20;5,2655;4,725;1,8791;2,541;14,1509
IGP-M;2021-07-21;5,6931;5,0818;2,2846;2,5212;14,1698
IGP-M;2021-07-21;5,8699;5,2171;2,153;2,9763;13,7358
IGP-M;2021-07-21;5,2994;4,8877;1,8663;2,5212;14,1698
IGP-M;2021-07-21;5,4919;4,9998;1,7676;2,9763;13,7358
IGP-M;2021-07-22;5,7054;5,108;2,21;2,5015;14,1887
IGP-M;2021-07-22;5,9498;5,4528;2,0537;2,9763;13,7358
IGP-M;2021-07-22;5,2644;4,9257;1,8811;2,5015;14,1887
IGP-M;2021-07-22;5,5009;5,0527;1,776;2,9763;13,7358
IGP-M;2021-07-23;5,6935;5,1045;1,6228;2,9092;10,6677
IGP-M;2021-07-23;6,1076;5,7902;1,5991;3,2858;11,1169
IGP-M;2021-07-23;5,5726;5,0407;1,9088;2,4817;14,2076
IGP-M;2021-07-23;5,9352;5,5506;1,8599;2,9763;13,7358
IGP-M;2021-07-26;6,1462;5,9565;1,5523;3,2858;11,1169
IGP-M;2021-07-26;5,6391;5,2567;1,5808;2,8641;10,6139
IGP-M;2021-07-26;6,0084;5,7902;1,8655;2,9763;13,7358
IGP-M;2021-07-26;5,5591;5,0886;1,925;2,4225;14,2644
IGP-M;2021-07-27;6,1462;5,9565;1,5523;3,2858;11,1169
IGP-M;2021-07-27;5,621;5,2322;1,5828;2,8491;10,596
IGP-M;2021-07-27;6,0084;5,7902;1,8655;2,9763;13,7358
IGP-M;2021-07-27;5,5431;5,0837;1,9281;2,4028;14,2833
IGP-M;2021-07-28;6,1814;5,9656;1,5492;3,2858;11,1169
IGP-M;2021-07-28;5,6261;5,2453;1,5931;2,834;10,5781
IGP-M;2021-07-28;6,0262;5,7902;1,8565;2,9763;13,7358
IGP-M;2021-07-28;5,5359;5,1515;1,9283;2,3831;14,3022
IGP-M;2021-07-29;5,7554;5,3143;1,6655;3,3759;10,5781
IGP-M;2021-07-29;5,7408;5,3004;1,6558;3,3995;10,5692
IGP-M;2021-07-29;5,647;5,2078;1,9766;2,3831;14,3022
IGP-M;2021-07-29;5,6342;5,2096;1,9672;2,3684;14,2652
IGP-M;2021-07-30;5,6281;5,3102;1,362;3,1323;10,4945
IGP-M;2021-07-30;5,6651;5,3508;1,3617;3,201;10,5123
IGP-M;2021-07-30;5,5956;5,2114;1,808;2,3538;14,2281
IGP-M;2021-07-30;5,6249;5,2751;1,8171;2,3831;14,3022
IGP-M;2021-08-02;5,7572;5,4305;1,3647;3,201;10,5123
IGP-M;2021-08-02;5,6594;5,4141;1,3649;3,0295;10,4677
IGP-M;2021-08-02;5,7441;5,3932;1,7886;2,3831;14,3022
IGP-M;2021-08-02;5,6654;5,3357;1,769;2,3098;14,1171
IGP-M;2021-08-03;5,7562;5,4305;1,3658;3,201;10,5123
IGP-M;2021-08-03;5,6392;5,4108;1,3665;2,9952;10,4588
IGP-M;2021-08-03;5,7435;5,3932;1,7892;2,3831;14,3022
IGP-M;2021-08-03;5,6492;5,3252;1,766;2,2951;14,0801
IGP-M;2021-08-04;5,6503;5,4213;1,3674;2,9609;10,4499
IGP-M;2021-08-04;5,7877;5,513;1,365;3,201;10,5123
IGP-M;2021-08-04;5,6335;5,3148;1,7627;2,2805;14,0431
IGP-M;2021-08-04;5,7435;5,3932;1,7892;2,3831;14,3022
IGP-M;2021-08-05;5,9802;5,6667;1,8383;3,201;14,3022
IGP-M;2021-08-05;5,826;5,4103;1,8276;2,9267;14,0062
IGP-M;2021-08-05;5,7371;5,3932;1,7914;2,3831;14,3022
IGP-M;2021-08-05;5,6133;5,3132;1,761;2,2658;14,0062
IGP-M;2021-08-06;6,243;5,8261;2,1011;3,9064;14,3022
IGP-M;2021-08-06;6,0888;5,6224;2,0579;3,9938;13,9692
IGP-M;2021-08-06;5,764;5,5235;1,7454;2,3831;14,3022
IGP-M;2021-08-06;5,6196;5,395;1,7146;2,2512;13,9692
IGP-M;2021-08-09;5,8901;5,4944;2,166;3,372;13,8584
IGP-M;2021-08-09;6,0643;5,6646;2,1888;3,7584;14,3022
IGP-M;2021-08-09;5,5555;5,3203;1,6573;2,7898;13,8584
IGP-M;2021-08-09;5,7474;5,4514;1,6903;3,201;14,3022
IGP-M;2021-08-10;5,8461;5,3932;2,0817;3,7584;14,3022
IGP-M;2021-08-10;5,6563;5,3105;2,0598;3,3398;13,8215
IGP-M;2021-08-10;5,7713;5,4514;1,668;3,201;14,3022
IGP-M;2021-08-10;5,5556;5,2974;1,6427;2,7556;13,8215
IGP-M;2021-08-11;5,9976;5,4514;2,0017;3,7584;14,3022
IGP-M;2021-08-11;5,7533;5,5094;1,9643;3,3077;13,7847
IGP-M;2021-08-11;5,8318;5,5235;1,7;3,201;14,3022
IGP-M;2021-08-11;5,5941;5,3296;1,6709;2,7215;13,7847
IGP-M;2021-08-12;5,3219;5,1531;1,3299;3,2756;9,6811
IGP-M;2021-08-12;5,5836;5,335;1,3413;3,7584;9,8138
IGP-M;2021-08-12;5,5859;5,3165;1,6633;2,6873;13,7478
IGP-M;2021-08-12;5,8434;5,5235;1,6905;3,201;14,3022
IGP-M;2021-08-13;5,37;5,021;1,4531;3,2435;10,7985
IGP-M;2021-08-13;5,667;5,2605;1,4593;3,7584;10,9965
IGP-M;2021-08-13;5,5985;5,3086;1,7016;2,6531;13,7109
IGP-M;2021-08-13;5,8717;5,5235;1,7353;3,201;14,3022
IGP-M;2021-08-16;5,9361;5,4514;1,5778;3,9276;10,9965
IGP-M;2021-08-16;5,5419;5,0848;1,5369;3,7683;10,7614
IGP-M;2021-08-16;5,8777;5,5248;1,7291;3,201;14,3022
IGP-M;2021-08-16;5,5314;5,2642;1,6798;2,5507;13,6004
IGP-M;2021-08-17;5,6103;5,5631;1,6117;2,7768;10,749
IGP-M;2021-08-17;6,0396;5,9203;1,6549;2,969;10,9965
IGP-M;2021-08-17;5,4911;5,3009;1,6968;2,5166;13,5636
IGP-M;2021-08-17;5,8577;5,5955;1,7504;2,969;14,3022
IGP-M;2021-08-18;5,9695;5,454;1,8314;2,969;10,9965
IGP-M;2021-08-18;5,5769;5,5687;1,7986;2,7672;10,7367
IGP-M;2021-08-18;5,8393;5,454;1,819;2,969;14,3022
IGP-M;2021-08-18;5,471;5,1144;1,7687;2,4825;13,5268
IGP-M;2021-08-19;5,7082;5,5719;1,7623;2,7576;10,7243
IGP-M;2021-08-19;6,1284;5,9062;1,7824;2,969;10,9965
IGP-M;2021-08-19;5,461;5,3584;1,7662;2,4484;13,49
IGP-M;2021-08-19;5,8484;5,5955;1,8177;2,969;14,3022
IGP-M;2021-08-20;5,8224;5,5136;1,7478;2,748;10,8049
IGP-M;2021-08-20;6,2208;5,7529;1,8118;2,969;11,0739
IGP-M;2021-08-20;5,4573;5,287;1,777;2,4144;13,4532
IGP-M;2021-08-20;5,8685;5,4527;1,8324;2,969;14,3022
IGP-M;2021-08-23;6,1653;5,8225;1,814;2,969;11,0739
IGP-M;2021-08-23;5,7284;5,4581;1,7716;2,7192;10,7699
IGP-M;2021-08-23;5,8997;5,4527;1,8533;2,969;14,3022
IGP-M;2021-08-23;5,4294;5,2149;1,8024;2,3122;13,3429
IGP-M;2021-08-24;5,8449;5,7745;1,6842;3,0135;10,7582
IGP-M;2021-08-24;6,2884;6,1348;1,6996;3,759;11,0739
IGP-M;2021-08-24;5,4247;5,1909;1,8116;2,2782;13,3062
IGP-M;2021-08-24;5,9236;5,4527;1,8668;2,969;14,3022
IGP-M;2021-08-25;5,9073;6,0545;1,7347;2,986;10,7465
IGP-M;2021-08-25;6,3884;6,3776;1,7453;3,759;11,0739
IGP-M;2021-08-25;5,4226;5,1669;1,8273;2,2442;13,2694
IGP-M;2021-08-25;5,9445;5,4527;1,8844;2,969;14,3022
IGP-M;2021-08-26;5,7135;5,7327;1,8108;2,9585;10,7348
IGP-M;2021-08-26;6,2407;6,0653;1,8032;3,759;11,0739
IGP-M;2021-08-26;5,3884;5,1429;1,8371;2,2102;13,2327
IGP-M;2021-08-26;5,9312;5,4527;1,8948;2,969;14,3022
IGP-M;2021-08-27;6,7808;6,4178;2,6189;3,759;14,7549
IGP-M;2021-08-27;6,1967;6,0438;2,5543;2,931;13,6443
IGP-M;2021-08-27;6,0379;5,7454;1,9548;2,969;14,7549
IGP-M;2021-08-27;5,4714;5,2941;1,8948;2,1762;13,6443
IGP-M;2021-08-30;5,8891;5,248;2,6407;1,1391;13,5332
IGP-M;2021-08-30;5,8927;5,2612;2,6539;1,0863;13,5707
IGP-M;2021-08-30;5,4934;5,2716;1,9806;1,1391;13,5332
IGP-M;2021-08-30;5,4999;5,282;1,9885;1,0863;13,5707
IGP-M;2021-08-31;5,7485;4,7452;2,7086;1,0863;13,5707
IGP-M;2021-08-31;5,7416;4,7387;2,6812;1,1919;13,4957
IGP-M;2021-08-31;5,4989;5,282;1,9955;1,0863;13,5707
IGP-M;2021-08-31;5,4864;5,2611;1,9795;1,1919;13,4957
IGP-M;2021-09-01;5,6057;4,8241;2,6542;1,0863;13,5707
IGP-M;2021-09-01;5,5978;4,8076;2,6134;1,2447;13,4582
IGP-M;2021-09-01;5,4331;5,2623;2,0129;1,0863;13,5707
IGP-M;2021-09-01;5,4162;5,2309;1,988;1,2447;13,4582
IGP-M;2021-09-02;5,6831;5,062;2,6783;1,0863;13,5707
IGP-M;2021-09-02;5,6719;5,0996;2,6253;1,2975;13,4207
IGP-M;2021-09-02;5,4139;5,2618;2,0314;1,0863;13,5707
IGP-M;2021-09-02;5,3941;5,2143;1,9971;1,2975;13,4207
IGP-M;2021-09-03;5,2117;5,062;1,6835;1,0863;9,4647
IGP-M;2021-09-03;5,2309;5,1091;1,6564;1,3503;9,5465
IGP-M;2021-09-03;5,4509;5,3256;1,9445;1,0863;13,5707
IGP-M;2021-09-03;5,4376;5,3081;1,9082;1,3503;13,3832
IGP-M;2021-09-06;5,3057;5,3256;1,7037;1,0863;9,4647
IGP-M;2021-09-06;5,3307;5,2976;1,6587;1,5091;9,5956
IGP-M;2021-09-06;5,4493;5,3256;1,9455;1,0863;13,5707
IGP-M;2021-09-06;5,4279;5,2976;1,8889;1,5091;13,2709
IGP-M;2021-09-08;5,2449;5,3256;1,7659;0,7593;9,4647
IGP-M;2021-09-08;5,2875;5,2907;1,6932;1,3957;9,6283
IGP-M;2021-09-08;5,4368;5,3256;1,9616;0,7593;13,5707
IGP-M;2021-09-08;5,4127;5,2907;1,8861;1,3957;13,1961
IGP-M;2021-09-09;5,3634;5,2506;1,7899;0,7593;9,9194
IGP-M;2021-09-09;5,3937;5,1412;1,7141;1,4596;9,7594
IGP-M;2021-09-09;5,4225;5,3256;1,8947;0,7593;13,5707
IGP-M;2021-09-09;5,4092;5,2872;1,8145;1,4596;13,1587
IGP-M;2021-09-10;5,2065;5,186;1,6584;0,7593;9,9194
IGP-M;2021-09-10;5,2973;5,1253;1,5849;1,5235;9,7449
IGP-M;2021-09-10;5,2931;5,1496;1,8368;0,7593;13,5707
IGP-M;2021-09-10;5,312;5,1751;1,7543;1,5235;13,1213
IGP-M;2021-09-13;4,9956;4,5498;1,8939;0,7593;9,9194
IGP-M;2021-09-13;5,1677;4,6602;1,7476;1,7155;9,7013
IGP-M;2021-09-13;5,1653;5,2483;1,6809;0,7593;9,9194
IGP-M;2021-09-13;5,2606;5,2732;1,5746;1,7155;9,7013
IGP-M;2021-09-14;4,9869;4,6914;1,8635;0,7593;9,9194
IGP-M;2021-09-14;5,1931;4,7728;1,7168;1,7796;9,6868
IGP-M;2021-09-14;5,1393;5,186;1,6706;0,7593;9,9194
IGP-M;2021-09-14;5,2514;5,2697;1,5585;1,7796;9,6868
IGP-M;2021-09-15;5,0374;4,853;1,8536;0,7593;9,9194
IGP-M;2021-09-15;5,2476;5,0286;1,7014;1,8437;9,6723
IGP-M;2021-09-15;5,1189;5,186;1,6577;0,7593;9,9194
IGP-M;2021-09-15;5,2418;5,2662;1,5432;1,8437;9,6723
IGP-M;2021-09-16;4,8041;4,7474;1,6604;1,394;9,4304
IGP-M;2021-09-16;5,0877;4,9668;1,5333;2,0846;9,5286
IGP-M;2021-09-16;5,0386;5,0107;1,669;1,394;9,9194
IGP-M;2021-09-16;5,196;5,2244;1,5463;2,0846;9,6577
IGP-M;2021-09-17;4,4618;4,3757;1,6113;1,394;9,4304
IGP-M;2021-09-17;4,9148;4,6617;1,491;2,1231;9,534
IGP-M;2021-09-17;4,5708;4,4381;1,5944;1,394;9,4304
IGP-M;2021-09-17;4,9649;4,7919;1,4604;2,1231;9,534
IGP-M;2021-09-20;4,4222;4,3757;1,6302;1,394;9,4304
IGP-M;2021-09-20;5,0135;4,818;1,5052;2,2386;9,5504
IGP-M;2021-09-20;4,5447;4,4381;1,5763;1,394;9,4304
IGP-M;2021-09-20;5,016;4,818;1,4374;2,2386;9,5504
IGP-M;2021-09-21;4,3789;4,1425;1,6542;1,394;9,4304
IGP-M;2021-09-21;5,006;4,7713;1,5211;2,2772;9,5559
IGP-M;2021-09-21;4,5377;4,4381;1,5811;1,394;9,4304
IGP-M;2021-09-21;5,0344;4,851;1,4351;2,2772;9,5559
IGP-M;2021-09-22;4,3748;4,3194;1,6306;1,394;9,4304
IGP-M;2021-09-22;5,0289;4,8014;1,5041;2,3088;9,5613
IGP-M;2021-09-22;4,5286;4,4381;1,5788;1,394;9,4304
IGP-M;2021-09-22;5,0572;4,8748;1,4311;2,3088;9,5613
IGP-M;2021-09-23;4,3547;3,9655;1,6641;1,394;9,4304
IGP-M;2021-09-23;5,0358;4,8159;1,5351;2,3361;9,5668
IGP-M;2021-09-23;4,4846;4,4023;1,5675;1,394;9,4304
IGP-M;2021-09-23;5,0479;4,8262;1,4305;2,3361;9,5668
IGP-M;2021-09-24;4,8511;4,5636;1,9255;1,394;9,4304
IGP-M;2021-09-24;5,431;5,2648;1,7414;2,393;9,5723
IGP-M;2021-09-24;4,4476;4,432;1,5217;1,394;9,4304
IGP-M;2021-09-24;5,054;4,8713;1,39;2,3635;9,5723
IGP-M;2021-09-27;4,5061;4,3202;1,6493;1,394;7,3932
IGP-M;2021-09-27;5,1397;4,8096;1,4837;2,5089;8,6547
IGP-M;2021-09-27;4,4353;4,432;1,5322;1,394;9,4304
IGP-M;2021-09-27;5,1282;4,9764;1,3792;2,4455;9,5886
IGP-M;2021-09-28;4,5523;4,423;1,6277;1,394;7,3932
IGP-M;2021-09-28;5,2092;5,211;1,4714;2,5475;8,6984
IGP-M;2021-09-28;4,4157;4,3726;1,5245;1,394;9,4304
IGP-M;2021-09-28;5,1472;5,0114;1,3747;2,4729;9,5941
IGP-M;2021-09-29;4,9673;4,3997;1,4531;2,7838;8,6984
IGP-M;2021-09-29;5,0272;4,4957;1,4557;2,7969;8,7133
IGP-M;2021-09-29;5,1049;4,8381;1,3919;2,4729;9,5941
IGP-M;2021-09-29;5,1324;4,8597;1,3885;2,503;9,5753
IGP-M;2021-09-30;5,1952;4,4883;1,7373;2,7838;9,5941
IGP-M;2021-09-30;5,2175;4,5387;1,7205;2,81;9,5565
IGP-M;2021-09-30;5,094;4,8381;1,4045;2,4729;9,5941
IGP-M;2021-09-30;5,1308;4,8755;1,3969;2,5331;9,5565
IGP-M;2021-10-01;5,0621;4,7899;1,5459;2,7838;9,5941
IGP-M;2021-10-01;5,1058;4,7986;1,5286;2,8231;9,5377
IGP-M;2021-10-01;5,0435;4,8111;1,3664;2,4729;9,5941
IGP-M;2021-10-01;5,0918;4,8711;1,3567;2,5633;9,5377
IGP-M;2021-10-04;5,0615;4,9047;1,5867;2,7838;9,5941
IGP-M;2021-10-04;5,145;5,0022;1,5564;2,8624;9,4813
IGP-M;2021-10-04;5,034;4,8323;1,3606;2,4729;9,5941
IGP-M;2021-10-04;5,1125;4,9244;1,3439;2,6537;9,4813
IGP-M;2021-10-05;5,0314;4,7432;1,5859;2,7838;9,5941
IGP-M;2021-10-05;5,1241;4,8012;1,5497;2,8755;9,4625
IGP-M;2021-10-05;5,034;4,8323;1,3606;2,4729;9,5941
IGP-M;2021-10-05;5,1226;4,9388;1,3415;2,6839;9,4625
IGP-M;2021-10-06;5,0317;4,7432;1,6226;2,9349;9,5941
IGP-M;2021-10-06;5,1371;4,8095;1,5811;3,1515;9,4437
IGP-M;2021-10-06;5,0358;4,8323;1,3563;2,4729;9,5941
IGP-M;2021-10-06;5,1352;4,9532;1,3341;2,714;9,4437
IGP-M;2021-10-07;4,9185;4,7432;1,2904;2,9349;7,8664
IGP-M;2021-10-07;5,0568;4,8177;1,309;3,1667;8,167
IGP-M;2021-10-07;5,0009;4,7899;1,3348;2,4729;9,5941
IGP-M;2021-10-07;5,1139;4,8843;1,3137;2,7442;9,4249
IGP-M;2021-10-08;4,9529;4,7876;1,3743;2,9349;8,255
IGP-M;2021-10-08;5,0719;4,8587;1,3881;3,182;8,4557
IGP-M;2021-10-08;5,0038;4,7899;1,3274;2,4729;9,5941
IGP-M;2021-10-08;5,1223;4,9103;1,3076;2,7744;9,4062
IGP-M;2021-10-11;4,9094;5,1033;1,441;1,2199;8,255
IGP-M;2021-10-11;5,1332;5,1739;1,4138;1,8815;8,516
IGP-M;2021-10-11;4,8843;4,7899;1,251;1,2199;8,404
IGP-M;2021-10-11;5,0592;4,9404;1,2283;1,8815;8,5487
IGP-M;2021-10-13;4,919;5,1349;1,4726;1,2199;8,255
IGP-M;2021-10-13;5,1798;5,2127;1,4425;1,9836;8,5562
IGP-M;2021-10-13;4,8843;4,7899;1,251;1,2199;8,404
IGP-M;2021-10-13;5,0836;4,9642;1,2273;1,9836;8,571
IGP-M;2021-10-14;4,9208;5,1349;1,415;1,2199;8,255
