Indicador;Data;Media;Mediana;DesvioPadrao;Minimo;Maximo
IGP-DI;2020-03-11;4,14;4,25;0,82;1,41;6,17
IGP-DI;2020-03-11;4,16;4,26;0,83;1,42;6,17
IGP-DI;2020-03-12;4,13;4,24;0,8;1,41;6,17
IGP-DI;2020-03-12;4,14;4,25;0,81;1,42;6,17
IGP-DI;2020-03-13;4,14;4,23;0,79;1,41;6,17
IGP-DI;2020-03-13;4,15;4,24;0,8;1,43;6,17
IGP-DI;2020-03-16;4,19;4,24;0,81;1,41;6,17
IGP-DI;2020-03-16;4,19;4,26;0,8;1,44;6,17
IGP-DI;2020-03-17;4,19;4,24;0,81;1,41;6,17
IGP-DI;2020-03-17;4,18;4,26;0,8;1,44;6,17
IGP-DI;2020-03-18;4,22;4,24;0,83;1,41;6,17
IGP-DI;2020-03-18;4,2;4,26;0,8;1,45;6,17
IGP-DI;2020-03-19;4,26;4,24;0,9;1,41;6,18
IGP-DI;2020-03-19;4,23;4,27;0,84;1,45;6,17
IGP-DI;2020-03-20;4,29;4,31;0,9;1,41;6,18
IGP-DI;2020-03-20;4,22;4,26;0,84;1,45;6,17
IGP-DI;2020-03-23;4,26;4,44;0,83;1,41;6,18
IGP-DI;2020-03-23;4,14;4,22;0,73;1,46;5,58
IGP-DI;2020-03-24;4,26;4,44;0,83;1,41;6,18
IGP-DI;2020-03-24;4,13;4,2;0,72;1,47;5,54
IGP-DI;2020-03-25;4,32;4,45;0,89;1,41;6,18
IGP-DI;2020-03-25;4,16;4,2;0,75;1,47;5,5
IGP-DI;2020-03-26;4,32;4,45;0,89;1,41;6,18
IGP-DI;2020-03-26;4,15;4,2;0,75;1,47;5,45
IGP-DI;2020-03-27;4,33;4,44;0,89;1,41;6,01
IGP-DI;2020-03-27;4,13;4,15;0,75;1,48;5,46
IGP-DI;2020-03-30;4,45;4,45;0,67;3,06;6,01
IGP-DI;2020-03-30;4,21;4,22;0,5;3,26;5,37
IGP-DI;2020-03-31;4,45;4,45;0,67;3,06;6,01
IGP-DI;2020-03-31;4,19;4,22;0,5;3,27;5,34
IGP-DI;2020-04-01;4,48;4,45;0,69;3,06;6,01
IGP-DI;2020-04-01;4,19;4,22;0,5;3,28;5,31
IGP-DI;2020-04-02;4,51;4,45;0,69;3,06;6,01
IGP-DI;2020-04-02;4,17;4,17;0,5;3,29;5,29
IGP-DI;2020-04-03;4,67;4,74;0,69;3,06;6,01
IGP-DI;2020-04-03;4,18;4,22;0,5;3,3;5,26
IGP-DI;2020-04-06;4,18;4,23;0,5;3,34;5,2
IGP-DI;2020-04-06;4,17;4,23;0,5;3,34;5,2
IGP-DI;2020-04-07;4,18;4,23;0,5;3,34;5,2
IGP-DI;2020-04-07;4,17;4,23;0,5;3,34;5,2
IGP-DI;2020-04-08;4,31;4,24;0,8;3,28;7,15
IGP-DI;2020-04-08;4,3;4,24;0,77;3,3;6,98
IGP-DI;2020-04-09;4,31;4,24;0,8;3,28;7,15
IGP-DI;2020-04-09;4,29;4,24;0,76;3,31;6,92
IGP-DI;2020-04-13;4,26;4,23;0,89;2,77;7,15
IGP-DI;2020-04-13;4,23;4,22;0,81;2,8;6,7
IGP-DI;2020-04-14;4,26;4,23;0,89;2,77;7,15
IGP-DI;2020-04-14;4,23;4,21;0,81;2,8;6,64
IGP-DI;2020-04-15;4,25;4,23;0,9;2,77;7,15
IGP-DI;2020-04-15;4,21;4,21;0,81;2,8;6,59
IGP-DI;2020-04-16;4,25;4,23;0,9;2,77;7,15
IGP-DI;2020-04-16;4,21;4,21;0,8;2,81;6,53
IGP-DI;2020-04-17;4,18;4,14;0,88;2,77;7,15
IGP-DI;2020-04-17;4,13;3,98;0,77;2,81;6,48
IGP-DI;2020-04-20;4,16;4,12;0,87;2,82;7,15
IGP-DI;2020-04-20;4,09;3,96;0,73;2,98;6,31
IGP-DI;2020-04-22;4,16;4,12;0,87;2,82;7,15
IGP-DI;2020-04-22;4,08;3,94;0,71;3;6,2
IGP-DI;2020-04-23;4,17;4,12;0,85;2,82;7,15
IGP-DI;2020-04-23;4,09;3,93;0,7;3,01;6,14
IGP-DI;2020-04-24;4,27;4,12;1;2,82;7,15
IGP-DI;2020-04-24;4,15;3,93;0,82;3,02;6,25
IGP-DI;2020-04-27;4,28;4,12;1;2,82;7,15
IGP-DI;2020-04-27;4,13;3,91;0,79;3,06;6,18
IGP-DI;2020-04-28;4,28;4,12;1;2,82;7,15
IGP-DI;2020-04-28;4,12;3,91;0,79;3,07;6,16
IGP-DI;2020-04-29;4,16;4,12;1,13;2,17;7,15
IGP-DI;2020-04-29;4;3,92;0,93;2,13;6,14
IGP-DI;2020-04-30;4,18;4,12;1,16;2,17;7,15
IGP-DI;2020-04-30;3,98;3,93;0,94;2,13;6,11
IGP-DI;2020-05-04;4,19;4,12;1,18;2,17;7,15
IGP-DI;2020-05-04;3,93;3,99;0,93;2,12;6,02
IGP-DI;2020-05-05;4,19;4,12;1,18;2,17;7,15
IGP-DI;2020-05-05;3,92;3,98;0,92;2,12;6
IGP-DI;2020-05-06;4,19;4,12;1,18;2,17;7,15
IGP-DI;2020-05-06;3,91;3,97;0,92;2,12;5,98
IGP-DI;2020-05-07;4,17;4,12;1,18;2,17;7,15
IGP-DI;2020-05-07;3,89;3,96;0,91;2,12;5,95
IGP-DI;2020-05-08;3,83;3,96;0,86;2,12;5,95
IGP-DI;2020-05-08;3,83;3,97;0,85;2,14;5,93
IGP-DI;2020-05-11;3,74;3,75;0,8;2,12;5,95
IGP-DI;2020-05-11;3,77;3,75;0,76;2,21;5,86
IGP-DI;2020-05-12;3,8;3,81;0,76;2,12;5,95
IGP-DI;2020-05-12;3,83;3,87;0,73;2,23;5,83
IGP-DI;2020-05-13;3,7;3,78;0,88;1,61;5,95
IGP-DI;2020-05-13;3,72;3,78;0,85;1,61;5,81
IGP-DI;2020-05-14;3,7;3,78;0,88;1,61;5,95
IGP-DI;2020-05-14;3,73;3,77;0,84;1,61;5,78
IGP-DI;2020-05-15;3,71;3,76;0,94;1,61;5,95
IGP-DI;2020-05-15;3,73;3,8;0,87;1,61;5,76
IGP-DI;2020-05-18;3,72;3,78;0,96;1,61;5,95
IGP-DI;2020-05-18;3,75;3,93;0,87;1,61;5,68
IGP-DI;2020-05-19;3,78;3,78;1;1,61;5,95
IGP-DI;2020-05-19;3,77;3,92;0,88;1,61;5,66
IGP-DI;2020-05-20;3,77;3,78;0,99;1,61;5,95
IGP-DI;2020-05-20;3,78;3,92;0,89;1,61;5,64
IGP-DI;2020-05-21;3,75;3,78;0,99;1,61;5,95
IGP-DI;2020-05-21;3,77;3,91;0,88;1,61;5,61
IGP-DI;2020-05-22;3,83;3,76;0,94;1,61;5,95
IGP-DI;2020-05-22;3,81;3,88;0,85;1,61;5,59
IGP-DI;2020-05-25;3,74;3,83;0,83;1,61;5,36
IGP-DI;2020-05-25;3,72;3,95;0,77;1,61;4,9
IGP-DI;2020-05-26;3,77;3,9;0,82;1,61;5,36
IGP-DI;2020-05-26;3,76;4;0,77;1,61;4,91
IGP-DI;2020-05-27;3,77;3,9;0,82;1,61;5,36
IGP-DI;2020-05-27;3,76;4;0,77;1,61;4,92
IGP-DI;2020-05-28;3,79;3,9;0,83;1,61;5,36
IGP-DI;2020-05-28;3,76;4;0,78;1,61;4,92
IGP-DI;2020-05-29;3,89;3,98;0,75;1,61;5,36
IGP-DI;2020-05-29;3,81;3,98;0,74;1,61;4,93
IGP-DI;2020-06-01;3,95;4,12;0,77;1,61;5,36
IGP-DI;2020-06-01;3,82;3,94;0,75;1,61;4,95
IGP-DI;2020-06-02;3,93;4,11;0,75;1,61;5,36
IGP-DI;2020-06-02;3,76;3,87;0,7;1,61;4,69
IGP-DI;2020-06-03;3,93;4,11;0,75;1,61;5,36
IGP-DI;2020-06-03;3,75;3,85;0,71;1,61;4,7
IGP-DI;2020-06-04;3,93;4,11;0,75;1,61;5,36
IGP-DI;2020-06-04;3,74;3,83;0,71;1,61;4,7
IGP-DI;2020-06-05;3,94;4,07;0,85;1,61;5,38
IGP-DI;2020-06-05;3,93;4,08;0,84;1,61;5,34
IGP-DI;2020-06-08;3,96;4,15;0,9;1,61;5,38
IGP-DI;2020-06-08;3,93;4,14;0,88;1,61;5,22
IGP-DI;2020-06-09;3,96;4,15;0,9;1,61;5,38
IGP-DI;2020-06-09;3,92;4,13;0,88;1,61;5,18
IGP-DI;2020-06-10;3,96;4,15;0,91;1,61;5,38
IGP-DI;2020-06-10;3,91;4,13;0,88;1,61;5,14
IGP-DI;2020-06-12;3,96;4,06;1,05;1,61;5,81
IGP-DI;2020-06-12;3,86;4,05;0,99;1,61;5,46
IGP-DI;2020-06-15;4,15;4,21;0,96;2,47;5,81
IGP-DI;2020-06-15;3,99;4,19;0,88;2,32;5,32
IGP-DI;2020-06-16;4,02;4,13;0,95;2,47;5,81
IGP-DI;2020-06-16;3,87;4,05;0,89;2,31;5,28
IGP-DI;2020-06-17;4,01;4,13;0,97;2,44;5,81
IGP-DI;2020-06-17;3,86;4,04;0,89;2,29;5,23
IGP-DI;2020-06-18;4,01;4,13;0,97;2,44;5,81
IGP-DI;2020-06-18;3,85;4,04;0,88;2,28;5,19
IGP-DI;2020-06-19;4;4,13;0,9;2,44;5,81
IGP-DI;2020-06-19;3,82;4,02;0,83;2,27;5,14
IGP-DI;2020-06-22;4,05;4,13;0,86;2,44;5,81
IGP-DI;2020-06-22;3,83;3,96;0,79;2,22;5,01
IGP-DI;2020-06-23;4,09;4,13;0,83;2,44;5,81
IGP-DI;2020-06-23;3,84;3,94;0,77;2,21;4,97
IGP-DI;2020-06-24;4,09;4,13;0,83;2,44;5,81
IGP-DI;2020-06-24;3,83;3,94;0,77;2,2;4,92
IGP-DI;2020-06-25;4,09;4,13;0,83;2,44;5,81
IGP-DI;2020-06-25;3,81;3,93;0,76;2,18;4,88
IGP-DI;2020-06-26;4,22;4,21;0,91;2,44;5,81
IGP-DI;2020-06-26;3,91;4,05;0,78;2,17;4,83
IGP-DI;2020-06-29;4,29;4,21;0,89;2,47;5,81
IGP-DI;2020-06-29;3,89;4,06;0,75;2,13;4,74
IGP-DI;2020-06-30;4,37;4,37;0,93;2,47;5,81
IGP-DI;2020-06-30;3,9;4,22;0,76;2,11;4,74
IGP-DI;2020-07-01;4,37;4,37;0,93;2,47;5,81
IGP-DI;2020-07-01;3,88;4,21;0,76;2,1;4,74
IGP-DI;2020-07-02;4,37;4,37;0,93;2,47;5,81
IGP-DI;2020-07-02;3,86;4,19;0,75;2,09;4,74
IGP-DI;2020-07-03;4,43;4,29;0,95;2,47;5,81
IGP-DI;2020-07-03;3,86;4,15;0,71;2,07;4,74
IGP-DI;2020-07-06;4,54;4,7;0,93;2,47;5,81
IGP-DI;2020-07-06;3,81;4,02;0,7;2,03;4,75
IGP-DI;2020-07-07;4,54;4,7;0,93;2,47;5,81
IGP-DI;2020-07-07;3,79;3,98;0,7;2,02;4,75
IGP-DI;2020-07-08;3,81;3,99;0,68;2,02;4,75
IGP-DI;2020-07-08;3,74;3,96;0,69;2,02;4,75
IGP-DI;2020-07-09;3,81;3,99;0,68;2,02;4,75
IGP-DI;2020-07-09;3,74;3,96;0,69;2,02;4,75
IGP-DI;2020-07-10;3,81;3,99;0,67;2,02;4,75
IGP-DI;2020-07-10;3,74;3,95;0,68;2,03;4,76
IGP-DI;2020-07-13;3,95;3,95;0,48;3,03;4,75
IGP-DI;2020-07-13;3,86;3,91;0,49;2,84;4,76
IGP-DI;2020-07-14;3,95;3,95;0,48;3,03;4,75
IGP-DI;2020-07-14;3,86;3,9;0,49;2,81;4,76
IGP-DI;2020-07-15;4,19;3,97;0,85;3,03;6,52
IGP-DI;2020-07-15;3,93;3,9;0,59;2,78;4,94
IGP-DI;2020-07-16;4,31;4,03;0,92;3,03;6,52
IGP-DI;2020-07-16;3,99;4;0,66;2,75;5
IGP-DI;2020-07-17;4,4;4,24;0,97;3,03;6,52
IGP-DI;2020-07-17;4,05;4;0,7;2,72;5,46
IGP-DI;2020-07-20;4,45;4,38;0,99;3,03;6,52
IGP-DI;2020-07-20;4,02;3,99;0,68;2,63;5,28
IGP-DI;2020-07-21;4,45;4,38;0,99;3,03;6,52
IGP-DI;2020-07-21;4;3,99;0,67;2,6;5,22
IGP-DI;2020-07-22;4,55;4,44;0,92;3,04;6,52
IGP-DI;2020-07-22;4,06;3,98;0,55;3,04;5,16
IGP-DI;2020-07-23;4,58;4,38;0,96;3,04;6,52
IGP-DI;2020-07-23;4,02;3,95;0,58;3,04;5,1
IGP-DI;2020-07-24;4,68;4,38;1,03;3,04;6,52
IGP-DI;2020-07-24;4;4,03;0,78;2,18;5,33
IGP-DI;2020-07-27;4,7;4,38;1,05;3,04;6,52
IGP-DI;2020-07-27;3,91;3,93;0,79;1,97;5,17
IGP-DI;2020-07-28;4,7;4,38;1,05;3,04;6,52
IGP-DI;2020-07-28;3,88;3,9;0,79;1,9;5,12
IGP-DI;2020-07-29;4,7;4,38;1,05;3,04;6,52
IGP-DI;2020-07-29;3,84;3,9;0,79;1,83;5,06
IGP-DI;2020-07-30;4,71;4,38;1,05;3,04;6,52
IGP-DI;2020-07-30;3,81;3,9;0,8;1,76;5,01
IGP-DI;2020-07-31;5,03;4,9;1,14;3,38;6,89
IGP-DI;2020-07-31;3,92;4,11;0,92;1,69;5,38
